"vehicle_id","year","color","make_name","model_name","kilometer","grade","remarks","net_book_value","purchase_price","sale_price","purchase_date","sale_date","min_bid_price","expected_sale_price","fleet_status"
"1064","2020","Black","FORD","Taurus Ambiente","80015.0","GRADE_2","Bonnet & L.H.S Front Fender Painted","41159.00","101505.00","56800.0","2020-05-10 00:00:00","2023-12-18","58018.0","58000.0","SOLD"
"1065","2020","Brown","FORD","Taurus Ambiente","86049.0","GRADE_1","R.H.S Front Fender Painted","41159.00","101505.00","59100.0","2020-05-10 00:00:00","2023-12-18","59461.0","60000.0","SOLD"
"1066","2020","Black","FORD","Taurus Ambiente","86528.0","GRADE_0","No Painted","41159.00","101505.00","67150.44","2020-05-10 00:00:00","2023-12-18","60903.0","65000.0","SOLD"
"1067","2020","Black","FORD","Taurus Ambiente","90821.0","GRADE_4","Bonnet & Front Both Fender Painted & R.H.S Front Door Painted","41159.00","101505.00","51810.44","2020-05-10 00:00:00","2023-12-18","55133.0","60000.0","SOLD"
"1068","2020","Brown","FORD","Taurus Ambiente","95048.0","GRADE_0","No Painted","41159.00","101505.00","62810.44","2020-05-10 00:00:00","2023-12-18","60903.0","65000.0","SOLD"
"1069","2020","White","FORD","Taurus Ambiente","97546.0","GRADE_0","No Painted","41159.00","101505.00","67850.44","2020-05-10 00:00:00","2023-12-18","60903.0","65000.0","TRANSFERRED"
"1070","2020","Brown","FORD","Taurus Ambiente","101850.0","GRADE_0","No Painted","41159.00","101505.00","65100.0","2020-05-10 00:00:00","2023-12-18","59076.0","62000.0","SOLD"
"1072","2020","Black","FORD","Taurus Ambiente","116067.0","GRADE_0","No Painted","41159.00","101505.00","64000.0","2020-05-10 00:00:00","2023-12-18","59076.0","65000.0","SOLD"
"1074","2020","Brown","FORD","Taurus Ambiente","142211.0","GRADE_0","No Painted","41159.00","101505.00","62110.44","2020-05-10 00:00:00","2023-12-18","59076.0","62000.0","SOLD"
"1075","2020","Black","FORD","Taurus Ambiente","168225.0","COMPLETE","RHS Front Fender Painted & Transmission Issue","39484.00","101505.00","53392.17","2020-05-10 00:00:00","2024-01-29","44459.0","45000.0","SOLD"
"1076","2021","Black","FORD","Taurus Ambiente","6000.0","COMPLETE","Full Painted-Excluded Auction 1242","53708.00","97515.00","52666.09","2021-07-05 00:00:00","2023-12-27","54608.0","55000.0","SOLD"
"108","2021","Grey      ","NISSAN","X-TERRA TITANIUM 4WD.","72508.0","GRADE_0","No Painted","70360.56","100549.99","80887.83","2021-11-29 00:00:00","2023-09-21","68273.44","72000.0","SOLD"
"1080","2022","White","HYUNDAI","Elantra 1.6","88824.0","COMPLETE","Transmission Issues & R.H.S Both Door & Rear Fender & L.H.S Front Fender Painted","40782.00","57550.00","40297.35","2021-12-21 00:00:00","2024-01-01","33235.0","38000.0","SOLD"
"1080","2022","White","HYUNDAI","Elantra 1.6","88824.0","COMPLETE","Transmission Issues & R.H.S Both Door & Rear Fender & L.H.S Front Fender Painted","40782.00","57550.00","40297.35","2021-12-21 00:00:00","2024-01-01","40889.0","45000.0","SOLD"
"1083","2019","White","NISSAN","Patrol Safari GL","85549.0","COMPLETE","Full Painted & Chassis Issue","42038.00","97350.00","32999.13","2020-01-27 00:00:00","2024-04-30","31152.0","40000.0","SOLD"
"1083","2019","White","NISSAN","Patrol Safari GL","85549.0","COMPLETE","Full Painted & Chassis Issue","42038.00","97350.00","32999.13","2020-01-27 00:00:00","2024-04-30","38940.0","50000.0","SOLD"
"1083","2019","White","NISSAN","Patrol Safari GL","85549.0","COMPLETE","Full Painted & Chassis Issue","42038.00","97350.00","32999.13","2020-01-27 00:00:00","2024-04-30","40540.0","50000.0","SOLD"
"1084","2019","White","NISSAN","Patrol Safari GL","117127.0","COMPLETE","Full Painted","40445.00","97350.00","37999.13","2020-01-27 00:00:00","2024-02-28","38940.0","50000.0","SOLD"
"1085","2019","White","NISSAN","Patrol Safari S","98649.0","COMPLETE","Full Painted","40982.00","97350.00","46999.13","2020-01-27 00:00:00","2024-01-14","38940.0","50000.0","SOLD"
"1085","2019","White","NISSAN","Patrol Safari S","98649.0","COMPLETE","Full Painted","40982.00","97350.00","46999.13","2020-01-27 00:00:00","2024-01-14","38940.0","55000.0","SOLD"
"1087","2020","White","NISSAN","Patrol Safari S","100292.0","COMPLETE","Full Painted-Ex 120 @ 35649","40445.00","97350.00","35000.0","2020-01-27 00:00:00","2024-05-12","44976.0","45000.0","SOLD"
"1087","2020","White","NISSAN","Patrol Safari S","100292.0","COMPLETE","Full Painted-Ex 120 @ 35649","40445.00","97350.00","35000.0","2020-01-27 00:00:00","2024-05-12","44976.0","50000.0","SOLD"
"1089","2020","White","NISSAN","Sunny SV","92223.0","COMPLETE","Full Painted","15812.00","36450.00","23600.0","2020-02-12 00:00:00","2023-12-18","17496.0","26000.0","SOLD"
"109","2022","Silver    ","TOYOTA","Camry LE","35133.0","COMPLETE","Left Side Complete & Bonet, Trunck & RHS both Fender painted","68333.47","82300.00","56680.0","2022-06-16 00:00:00","2023-09-27","53865.35","60000.0","SOLD"
"1094","2021","White","TOYOTA","Fortuner VX1 4x4","40366.0","GRADE_0","No Painted","68343.00","124860.00","102640.0","2021-01-24 00:00:00","2023-12-18","93645.0","95000.0","SOLD"
"1097","2021","White","TOYOTA","Fortuner VX1 4x4","60452.0","GRADE_0","No Painted","81367.00","124860.00","101100.0","2021-08-15 00:00:00","2023-12-18","90836.0","95000.0","SOLD"
"1098","2021","White","TOYOTA","Fortuner VX1 4x4","61243.0","GRADE_0","No Painted","77309.00","124860.00","101250.44","2021-06-13 00:00:00","2023-12-18","90836.0","95000.0","SOLD"
"110","2022","Brown     ","TOYOTA","Camry LE","52169.0","GRADE_0","No Painted","59491.43","82300.00","77293.91","2021-11-24 00:00:00","2023-09-27","65058.15","75000.0","SOLD"
"1100","2021","White","TOYOTA","Fortuner VX1 4x4","127825.0","GRADE_1","Trunk Painted","77309.00","124860.00","94380.0","2021-06-13 00:00:00","2023-12-18","84886.0","93000.0","SOLD"
"1106","2021","Grey","CHEVROLET","Tahoe LS 4x4","40881.0","GRADE_1","R.H.S Front Fender Small Dent","97449.00","171798.00","123999.13","2021-05-26 00:00:00","2024-01-22","117410.0","130000.0","SOLD"
"1107","2021","Grey","CHEVROLET","Tahoe LS 4x4","59855.0","COMPLETE","Bonnet Painted Both Sides Front Fenders & Front Doors Painted.  Engine Tappet sound  Rust underneath Auction 1281","88951.00","177770.00","91000.0","2021-03-23 00:00:00","2024-03-12","85330.0","85330.0","SOLD"
"1107","2021","Grey","CHEVROLET","Tahoe LS 4x4","59855.0","COMPLETE","Bonnet Painted Both Sides Front Fenders & Front Doors Painted.  Engine Tappet sound  Rust underneath Auction 1281","88951.00","177770.00","91000.0","2021-03-23 00:00:00","2024-03-12","95818.0","95000.0","SOLD"
"1108","2021","Grey","CHEVROLET","Tahoe LS 4x4","85943.0","GRADE_0","No Painted","88951.00","177770.00","136100.0","2021-03-23 00:00:00","2024-03-18","104136.0","125000.0","SOLD"
"1108","2021","Grey","CHEVROLET","Tahoe LS 4x4","85943.0","GRADE_0","No Painted","88951.00","177770.00","136100.0","2021-03-23 00:00:00","2024-03-18","120706.0","135000.0","SOLD"
"1109","2021","Black","CHEVROLET","Tahoe LS 4x4","85944.0","GRADE_0","No Paint.","88368.00","179683.00","131999.13","2020-12-30 00:00:00","2023-12-28","122005.0","130000.0","SOLD"
"1109","2021","Black","CHEVROLET","Tahoe LS 4x4","85944.0","GRADE_0","No Paint.","88368.00","179683.00","131999.13","2020-12-30 00:00:00","2023-12-28","122005.0","135000.0","SOLD"
"111","2022","Silver    ","TOYOTA","Camry LE","53609.0","GRADE_4","L.H.S Rear Fender & Door & Front Fender & R.H.S Front Door Painted","59491.43","82300.00","58600.0","2021-11-24 00:00:00","2023-09-27","58474.15","68000.0","SOLD"
"1110","2021","Silver","FORD","Explorer 3.3L 4WD","97698.0","COMPLETE","Bonnet & Roof  Hailstorm Effect","78061.00","127015.00","83700.0","2021-11-02 00:00:00","2023-12-20","68461.0","70000.0","SOLD"
"1111","2020","Black","FORD","Taurus Ambiente","84517.0","GRADE_2","R.H.S Rear Fendar Corner Paint & Trunk Dent","37767.00","101505.00","68599.13","2020-05-10 00:00:00","2024-03-20","38679.0","70000.0","SOLD"
"1111","2020","Black","FORD","Taurus Ambiente","84517.0","GRADE_2","R.H.S Rear Fendar Corner Paint & Trunk Dent","37767.00","101505.00","68599.13","2020-05-10 00:00:00","2024-03-20","60903.0","70000.0","SOLD"
"1112","2020","Silver","HYUNDAI","Accent","56037.0","GRADE_0","No Paint.","16305.00","44550.00","30620.0","2020-02-12 00:00:00","2023-12-20","28958.0","36000.0","SOLD"
"1113","2020","White","HYUNDAI","Accent","59167.0","GRADE_0","No Paint","20099.00","44550.00","33111.3","2020-02-11 00:00:00","2023-12-20","28958.0","36000.0","SOLD"
"1116","2020","Silver","HYUNDAI","Sonata GL","90709.0","GRADE_5","L.H.S Complete Painted. R.H.S Front Fender Painted. Bonnet Painted.","43448.00","70050.00","43560.0","2020-11-16 00:00:00","2023-12-20","40524.0","50000.0","SOLD"
"1117","2020","White","ISUZU","D-MAX Double Cab 2.5 LD 4X2","97738.0","GRADE_1","L.H.S Back Fender Painted.","36011.00","68000.00","54000.0","2020-08-19 00:00:00","2023-12-20","43160.0","48000.0","SOLD"
"1119","2022","Silver","MG","5","38056.0","COMPLETE","L.H.S Complete Painted. ( Bonnet Hailstorm Effect )","26968.00","38300.00","25000.0","2022-06-09 00:00:00","2023-12-20","23593.0","23000.0","SOLD"
"1122","2022","White","MG","5","40039.0","COMPLETE","Hailstorm Effect Bonnet Roof & Trunk )","24093.00","38300.00","25200.0","2022-01-23 00:00:00","2023-12-28","23593.0","23000.0","SOLD"
"1123","2019","White","NISSAN","Patrol Safari S","82645.0","COMPLETE","Complete Painted.","40982.00","97350.00","57980.0","2020-01-27 00:00:00","2023-12-20","38940.0","50000.0","SOLD"
"1124","2019","White","NISSAN","Patrol Safari S","91733.0","COMPLETE","Complete Painted.","40982.00","97350.00","55780.0","2020-01-27 00:00:00","2023-12-20","38940.0","50000.0","SOLD"
"1125","2019","White","NISSAN","Patrol Safari S","132952.0","COMPLETE","Complete Painted.","40445.00","97350.00","35111.3","2020-01-27 00:00:00","2024-02-21","31152.0","40000.0","SOLD"
"1126","2020","White","NISSAN","Patrol Safari S","95818.0","COMPLETE","Complete Painted","40445.00","97350.00","36100.0","2020-01-27 00:00:00","2024-02-12","46728.0","45000.0","SOLD"
"113","2021","White     ","TOYOTA","Corolla","69684.0","GRADE_3","Bonnet & Both Fender Painted","38492.29","58700.00","37380.0","2021-08-24 00:00:00","2023-09-27","39596.6","38000.0","SOLD"
"1131","2020","White","TOYOTA","Fortuner VX1 4x4","81305.0","GRADE_0","No Paint.","50532.00","123120.00","85660.0","2019-09-25 00:00:00","2023-12-20","67716.0","80000.0","SOLD"
"1132","2021","White","TOYOTA","Fortuner VX1 4x4","31958.0","COMPLETE","Hailstorm Effect Bonnet","63520.00","124860.00","104346.96","2020-11-25 00:00:00","2023-12-20","64927.0","75000.0","SOLD"
"1137","2020","White","TOYOTA","Hiace Passenger Van Highroof","153198.0","COMPLETE","R.H.S Complete Painted. L.H.S Back Fender Painted.","48191.00","112200.00","65585.22","2019-11-10 00:00:00","2023-12-20","47517.0","68000.0","SOLD"
"1141","2022","Grey","TOYOTA","RAIZE XLE","71254.0","GRADE_3","L.H.S Back Fender  Back Door & Front Door Painted.","38125.00","53900.00","35826.09","2022-01-24 00:00:00","2023-12-20","39374.0","40000.0","SOLD"
"1142","2022","Red","TOYOTA","RAIZE XLE","118323.0","GRADE_0","No Paint.","38293.00","53900.00","38740.0","2022-01-30 00:00:00","2023-12-20","45815.0","40000.0","SOLD"
"1143","2019","White","TOYOTA","Yaris 1.3","98043.0","GRADE_1","Wheelcups Missing","21746.00","41800.00","34760.0","2019-11-17 00:00:00","2023-12-20","22449.0","28000.0","SOLD"
"1144","2019","White","TOYOTA","Yaris 1.3","156177.0","COMPLETE","R.H.S Back Fender & Back Door Painted.(Bumper Damage) Hailstorm Effect Bonnet & Roof","21746.00","41800.00","31120.0","2019-11-17 00:00:00","2023-12-20","17702.0","22000.0","SOLD"
"1145","2019","White","TOYOTA","Yaris 1.3","220466.0","GRADE_0","No Paint","21746.00","41800.00","31000.0","2019-11-17 00:00:00","2023-12-20","21381.0","28000.0","SOLD"
"1148","2021","Black","FORD","F-150 SC 4X4","37082.0","GRADE_0","No Painted","68803.00","129715.00","96000.0","2021-07-27 00:00:00","2023-12-23","90801.0","95000.0","SOLD"
"1149","2020","Black","FORD","Taurus Ambiente","53816.0","GRADE_0","No Painted","40335.00","101505.00","72210.44","2020-05-10 00:00:00","2023-12-23","60903.0","70000.0","SOLD"
"115","2022","White     ","TOYOTA","Corolla","43765.0","GRADE_0","No Painted","46230.63","60900.00","52500.0","2022-02-01 00:00:00","2023-09-27","50212.05","48000.0","SOLD"
"1151","2020","White","FORD","Taurus Ambiente","65550.0","GRADE_0","No Painted","40335.00","101505.00","74300.0","2020-05-10 00:00:00","2023-12-23","60903.0","70000.0","SOLD"
"1152","2020","Black","FORD","Taurus Ambiente","89783.0","GRADE_1","Bonnet Painted","40335.00","101505.00","58000.0","2020-05-10 00:00:00","2023-12-23","59461.0","68000.0","SOLD"
"1153","2020","White","FORD","Taurus Ambiente","100327.0","COMPLETE","Full Painted","40335.00","101505.00","54782.61","2020-05-10 00:00:00","2024-01-31","46895.0","55000.0","SOLD_OFFLINE"
"1155","2020","Black","FORD","Taurus Ambiente","121340.0","GRADE_0","No Painted","40335.00","101505.00","59653.04","2020-05-10 00:00:00","2023-12-23","59076.0","62000.0","SOLD"
"1157","2020","Brown","FORD","Taurus Ambiente","129631.0","GRADE_0","No Painted","40335.00","101505.00","59650.44","2020-05-10 00:00:00","2023-12-23","59076.0","62000.0","SOLD"
"1158","2020","Black","FORD","Taurus Ambiente","165244.0","GRADE_0","No Painted","40335.00","101505.00","59826.96","2020-05-10 00:00:00","2023-12-23","56640.0","60000.0","SOLD"
"1159","2022","White","FORD","Taurus Ambiente","50205.0","GRADE_2","Bonnet & L.H.S Both Fender Painted","67523.00","104515.00","71304.35","2021-12-31 00:00:00","2024-01-28","73799.0","73000.0","SOLD_OFFLINE"
"1160","2022","White","FORD","Taurus Ambiente","69843.0","GRADE_1","Bonnet Painted","67523.00","104515.00","73850.44","2021-12-31 00:00:00","2023-12-27","75779.0","75000.0","SOLD"
"1162","2020","Silver","HYUNDAI","Accent","207900.0","GRADE_1","L.H.S Front Door Painted","19058.00","44550.00","28190.44","2019-10-31 00:00:00","2023-12-23","22211.0","25000.0","SOLD"
"1163","2022","Silver","HYUNDAI","Accent","69725.0","GRADE_3","Bonnet & R.H.S Front Door & Fender Painted","32300.00","46050.00","33680.0","2021-12-07 00:00:00","2023-12-23","31063.0","35000.0","SOLD"
